,BEST4+ enterocyte,enterocyte of epithelium proper of ileum,enterocyte of epithelium proper of duodenum,"CD4-positive, alpha-beta T cell",intestinal crypt stem cell of small intestine,paneth cell of epithelium of small intestine,"activated CD8-positive, alpha-beta T cell",natural killer cell,neutrophil,enterocyte of epithelium proper of small intestine,small intestine goblet cell,"activated CD4-positive, alpha-beta T cell",plasma cell,macrophage,"CD8-positive, alpha-beta T cell",enterocyte of epithelium proper of jejunum,B cell,enteroendocrine cell of small intestine,intestinal tuft cell,fibroblast,gamma-delta T cell,enteroglial cell,innate lymphoid cell,myeloid dendritic cell,endothelial cell of venule,"naive thymus-derived CD4-positive, alpha-beta T cell",mast cell,endothelial cell of lymphatic vessel,endothelial cell of arteriole,pericyte,transit amplifying cell of small intestine,monocyte,myofibroblast cell,regulatory T cell
Lacticaseibacillus paracasei,0.4545662675442915,0.18239517621756865,0.9320577489449309,0.20802191015691507,0.1679075641739209,0.1818548758320649,-0.04134260785798077,0.13264901628672188,0.48833640813349377,0.1841912004383317,-0.0880379189650414,-0.12752538614359052,0.014939432500246985,0.1721590303232641,0.5080759606428786,-0.252146592409931,0.05405211663337313,0.19329300583052364,-0.4001117302888303,-0.10007948488992188,-0.053966561920855916,-0.08879111215514948,0.20756686350649423,0.10183211714946078,-0.016585830780310895,0.2783887879657905,0.666922415293875,0.6417769550225256,-0.4268315316187008,0.32312165515054186,0.09659301298084846,0.19654660285960687,0.030515089937235423,0.18527658896616067
Lactobacillus crispatus,0.1954222188216056,-0.023685527204676926,-0.11891026434755422,0.015391295214154721,0.22027777933702966,0.3296989025052792,0.4060046932020439,0.001742993079926175,0.23515337019082103,0.43875077758598957,0.4996784685432384,0.13235014376054333,0.08372048251811622,0.20733727015091763,-0.1949122418692217,0.09191714668934757,0.37337591954193894,0.34258413883311034,0.06891971869083328,0.21531546032614995,-0.09739510208720625,0.3610476444675074,0.12665356915905807,0.06721456449115855,0.04148284917198401,0.13113183993004254,0.01563670652041249,0.34744291080076894,0.031414935595145785,0.6278892288082143,0.5895631510444143,-0.11746304695635143,0.17091128082878407,-0.04519698640085848
Adlercreutzia,0.05200573104341655,0.7507282402934391,0.05772857486526023,0.25806781112322863,0.3123963882024835,-0.1501888117449722,-0.10652864232276146,-0.21180671142243565,-0.11579122016933305,-0.7050090327951546,0.31337472023808843,0.7662581523768209,0.19434622171095808,-0.2748806578021822,-0.04283291486998439,0.012336946492500916,-0.15527543316401268,0.40805479151854696,0.39307801331260017,-0.19663553814529786,0.3675243133342524,0.6080437990731795,0.720767461568868,1.0095636069257887,-0.12059779483295921,0.997266127918561,0.04373808344736352,-0.027739636614154295,0.24812171246335357,-0.024618400227903736,0.2697132421939578,-0.2460231563211905,0.0783742193809697,0.5356746703085038
Akkermansia,0.13288161257065323,0.19247873602196483,0.2925775814151934,0.501198488795298,-0.34656741365682986,0.3253572155512304,0.06955825822747103,0.19999136859355154,0.4679850509287129,-0.20825599542355325,-0.15379333243292684,-0.43062898791414184,-0.014747682529132944,0.5491297033136449,0.11382384345795914,-0.25203746869643573,0.004296376627485887,-0.2963585110471869,-0.18755583051934852,0.26664567307911397,-0.20216199789180864,0.4837902915609905,0.1286639127508992,0.1756784111833576,0.06648810971763179,0.381854351563117,0.38494796633310324,0.2505163055736514,0.3194367317722944,0.0863730990238723,0.3126609020727146,0.048636667357857974,0.1506694866487206,0.06760687519011077
Mucispirillum,0.01283443820424121,-0.056733539316537074,0.29030703115766565,0.543181773844039,0.5013305915008678,-0.22696960078363063,0.536760915422062,0.054552449514621335,0.33021990454367744,-0.12186459961416332,0.1925939741622016,0.24411695486907212,-0.29538143757589586,0.3324801499032568,0.5537805023514946,0.09760561629551162,0.5580504392484038,0.09309195196427775,0.4048753593139851,-0.5155709897853298,0.8756333337940391,0.5986374735728871,0.06461234872389633,-0.4416267079931454,0.23640851049164674,-0.2831776641221271,0.28345606126724643,0.2734697157492846,-0.13242095070060741,0.4862901070843133,0.391672410841852,0.44274700118656896,0.1526573111006686,-0.274657220074112
Muribaculum,0.4433616816633412,0.06888858025926264,-0.26693404295780077,0.5556118097922977,0.7798222561507528,0.1376255613062391,0.7977363463809876,0.17739441858340488,0.03586322875009465,-0.03913753625564326,0.6411247223978227,-0.08404316441633153,0.37058079299249624,-0.01774915051776249,0.011907971227691078,0.45907490819087005,0.035988946113193906,0.028561386173912046,0.4898414091524421,0.6292191879664869,0.34340694098526997,-0.04643093268718476,-0.0031825497892738475,0.17397457912201125,0.24627901857769724,-0.14635977304193157,0.3669113818739591,0.17565399889187971,-0.3647124955914388,-0.1286779447382191,-0.001238602095499114,0.12814269334768347,0.7167836386511988,0.22145139184188847
Helicobacter,-0.10223156696958749,0.21618924129214895,0.04437367576383572,0.24742747186006253,0.3241703061106844,0.5127691941671814,0.14271405129899223,0.64168815827995,0.4224067987608574,-0.06223186344365636,0.8129566997245392,0.2480983539810293,-0.10053735119167054,0.6458739153691265,0.7733332755595334,0.14009242088413182,-0.0010950781126788933,0.09828751276390141,0.36441951825530994,0.5333569965091541,0.32114619925907206,0.18051696254153093,0.5994035310913283,0.056149058084543346,0.4592758015100721,0.06358116049461641,0.2793068874032679,0.11593123056286456,0.13324434520415673,0.03678404476133702,0.5534562093542084,-0.06987781143256053,-0.07206967576461251,0.7862980697535328
Lachnoclostridium,0.4433542693962994,-0.5655341096079108,-0.019577621763121084,-0.3935968012686162,-0.13520720802457656,-0.7915543998702118,0.10890312669181729,-0.19258254574839348,0.1679715770389315,-0.3375363776647574,0.17487355595161197,0.025525116563901815,0.6005858895565787,0.5734070585236875,0.3856036809030849,0.05201586580163621,0.745614118578088,-0.3159105833519462,-0.27106758886909876,0.1248650700332806,0.8262114326763358,0.08929832793897374,0.09502642703721542,-0.28257310683354275,0.4337788755811135,0.4359528762988061,0.386722560419973,-0.038766201854208704,-0.06201203051190171,-0.2379366751214911,0.1751617505282801,-0.17412219878355048,-0.20322495157478657,0.02289278492679722
Akkermansia muciniphila,0.0032531474447351494,-0.011393558646586532,0.2899333790520784,0.17371434064508376,0.0635531908466647,0.2049038784934446,-0.14745811233138964,0.18158358717290338,0.19518074785339012,-0.3009140578072441,0.44870812631110857,-0.11443011156809865,0.17709293976193047,0.49932352216058107,0.42770302731416077,0.16030001657065063,0.041250299135379434,0.43425357257267017,0.35240849334258595,-0.03550950601323899,-0.08846809410050713,-0.4717065545087994,0.1962095525050762,0.1251906764944804,0.4908574123927627,0.25771652804411,0.5502687582518071,-0.05920926837485124,0.49144509929028546,-0.00867491373139656,0.38327881853768164,-0.28762751775920803,0.22054058980985655,-0.44540638243377295
Bififidobacterium thetaiotaomicron,0.06985875421747359,0.28210619816337407,-0.006290565369328732,-0.1651312886267902,0.40383554078878015,0.11896116304592297,0.0031288058907985306,0.16256877634628294,0.9410007425836766,0.4960508549344631,0.498772100456352,0.2806638956977092,0.19994558177314412,-0.5688246864991249,-0.05369410393893964,0.0058276760392576565,-0.4124676192142599,-0.1972247370646301,-0.4442509412767902,0.13850284929078824,0.3956297912546448,0.4820323555872986,0.27443533862377234,-0.13901890235957068,-0.42961954755598786,-0.37706060982045053,-0.23069477317634954,-0.11665790941070239,0.10207545060252401,-0.1542492654380905,0.2516927681004784,0.08031794916015815,0.15316371352230768,0.49207516580136146
