,"CD8-positive, alpha-beta T cell",gamma-delta T cell,fibroblast,plasma cell,intestinal crypt stem cell of colon,"CD4-positive, alpha-beta T cell",B cell,enterocyte of epithelium of large intestine,myeloid leukocyte,BEST4+ enterocyte,regulatory T cell,mast cell,colon endothelial cell,type L enteroendocrine cell,colon macrophage,transit amplifying cell of colon,enterochromaffin-like cell,large intestine goblet cell,paneth cell of colon,enteroglial cell,myofibroblast cell,"naive thymus-derived CD4-positive, alpha-beta T cell",monocyte,innate lymphoid cell,tuft cell of colon,mature NK T cell,natural killer cell,myeloid dendritic cell,neutrophil
Lacticaseibacillus paracasei,0.17009721516746157,0.3047817653112298,-0.3187637570659628,-0.008715803203888428,0.38827940388654814,-0.22628682695077482,0.23806737964998878,-0.25697454138702147,0.2899289947300579,0.13930755531075492,-0.3345395447716528,0.4994218063371514,-0.07037747303941477,-0.0930757311043143,0.21017075916928285,0.4945912048286145,-0.15474654569351906,0.1685039549543915,0.2786449500991719,0.3579316821789432,0.20293246658316755,0.0398916482750033,-0.0982770661946159,0.17584316491391241,-0.17164170359568207,-0.7264051450483822,0.28096794124730035,0.42118045232585855,-0.5588797306625515
Lactobacillus crispatus,-0.15291921141298123,0.33574627830155934,0.7672486409135096,0.15623811230262236,-0.06840088236874034,0.09513106766854795,0.5624629257444554,-0.04378925373736059,-0.08975760199507607,0.005176943345390261,-0.13599858247761368,0.18680109479843865,0.6374035375408682,0.2469237819348087,0.07429394936211371,0.06245661932533676,-0.31895724260899705,0.4149329331441477,0.12664884089615938,0.09585602592281231,1.1079322703534582,0.23962587250970585,-0.07553731502855529,0.022092721138337018,0.49453371275902647,0.18398112316132934,-0.28148339349521,0.425768680372561,-0.05044322566169818
Adlercreutzia,0.7119893328652637,0.4740144197143945,0.015803431302374632,0.5343049085205338,0.170356653158221,0.4058321025366658,0.2954198451883424,-0.10390699649726207,-0.04306494969523861,0.45898824527434834,0.04956740036803774,0.02890546102740099,-0.13653677380480586,0.2770797196780383,0.7687574757729435,-0.17025987427628184,0.15726583700182742,0.5736661666246288,0.12610758262628546,0.2857115388749202,-0.16871805844406393,0.2784921291622946,0.09385672049863536,0.4457189987039589,0.5062158154694253,0.9268690926055841,0.32388995196407266,0.24773889497464993,0.2083152904732008
Akkermansia,0.0440501121567935,0.25154515303850733,0.061379576958291174,0.2005382928808843,0.5452792606823879,-0.15196276958389235,0.4919635683387136,0.5451345202019595,0.11457944190267638,-0.4865564697025784,-0.03234659612832974,0.5390983639683328,0.14313958131033536,-0.14979066968847324,-0.0014324763684652186,0.40218600795136594,0.3140200704604138,0.0783203702490917,0.039952676455593736,0.03247255528685343,-0.12672305534955078,0.6346127068408325,0.05330385923659803,0.515147556247649,0.6063948155767354,0.44949326944438805,0.020513906184585484,0.2711190271009828,0.14274131808272514
Mucispirillum,-0.12111055821903846,0.2473077845164809,-0.20371193734794077,0.5063038165384691,0.010614810810482073,0.21034789676185178,0.23498636146384264,0.0723285078887768,0.3260081404425824,0.00752890301324266,0.41138918923717327,-0.2537939040740246,0.18791387386392355,0.7316786997174854,-0.1500993973816724,-0.05332349115745544,0.30417235489767447,0.20387453458187937,0.25518902978206776,0.29675613904429904,0.34041644056853093,0.482909952586867,0.27294559707855376,0.07762270361443727,0.35177211036081935,0.7199645804685647,0.11020987608522792,-0.14235879140119242,0.48212420078609186
Muribaculum,0.11388565081392052,-0.5018008638042109,0.4042265031451264,-0.010598455786176825,0.12284001530875177,0.24959409917070435,0.2071499039337199,0.36283554514171185,0.01935408882904699,0.3039317394528248,0.07213599672482483,0.3716431442662509,0.334610245203916,-0.1306316106133786,0.4757946348525096,-0.010789033534214398,0.39241733948434354,0.26018619402040216,0.7014551030385368,0.08296020528844436,0.045204961164540744,0.1441741182336802,0.05904606514971737,0.389982570582615,-0.33489318253097633,-0.1661047257439062,-0.17034087647375792,0.4350922775920727,0.6631840117745775
Helicobacter,0.11866523443875854,0.0993534830429968,0.1710156489339544,0.4985634907824571,-0.12820594025717222,0.22151069482043553,0.44255928893472896,0.3003282509819536,0.20687448497962302,0.4503138277701423,-0.6609696878997711,0.35336259585927227,-0.04622270493822714,-0.399189869056937,0.3033607798574942,0.5620975635488873,0.10876544561169244,0.43586236416088164,0.6336834773965936,0.5444743360752142,0.6419893588114178,0.3726382473215677,0.17263009167047783,-0.3305897435691505,0.07618125356101542,-0.10297397859485749,0.8012828152493441,0.09723425627029901,0.1869614420353457
Lachnoclostridium,0.31544561281214023,0.1630807339117361,0.6585153121292259,-0.03679480852033559,0.2083822365711728,-0.07274117570941446,-0.24600675336621172,-0.033530727271585625,0.1388889608854764,0.021209332644822,-0.05772629396215678,-0.2718952391015501,0.12506832821139158,-0.30141611220930065,0.37801678910688075,0.17473192588035097,-0.2872654498394792,0.05723727688504096,-0.07564692167717493,0.2457523531257541,0.5521351338069433,-0.4125517408937234,0.18450782374422514,0.10196016133000788,0.35140202293513967,0.21395898847130673,-0.07559079952164571,0.05428381930001455,-0.08880775704104671
Akkermansia muciniphila,0.47280214157957945,0.15639349460158267,0.7203572057259022,0.13180175585561377,-0.06252203007313883,-0.3041143177838481,-0.39094190287678343,-0.32524078290164693,0.23013799530344503,0.30261750696898015,-0.32435721060963996,0.4185114942228346,0.005081684494968153,0.1940379035956648,0.6336661884766273,0.4190517947596596,0.06944080562825031,-0.11735766762458624,-0.49554462039879144,-0.06574599577272602,0.08666092835169166,-0.14615385814535517,0.11062290987230858,0.17305556488763046,0.08254320545757643,-0.04500077424703791,0.2005964015900183,0.2825821948708227,-0.17711972323285383
Bififidobacterium thetaiotaomicron,0.573279713923881,0.12042356031472148,0.1556548868834543,0.3624643269769671,0.21996483937905048,0.4359409901739735,0.23613724956054727,-0.033731212392131366,0.2584510575618305,-0.1931178621961985,0.18256791173295694,0.14003100280666175,0.0875649428182381,0.11143874656832077,-0.41455471364929164,-0.014617472322288438,0.1778534703423344,0.1979569175992201,-0.15830254227778742,0.5297123522594102,-0.10985245446435024,0.440837160158021,0.2781583085615055,-0.04386819295314093,0.6825932677828536,-0.208091049526944,0.42574625208300043,0.45017469541289346,-0.051186062722993475
Helicobacter pylori,0.5677395900192986,0.07498604562031416,0.23660808878395712,0.22809655163136622,0.10970737755883565,0.39324248194793465,0.3880466161656639,-0.37455959197145416,0.5413020728634458,-0.3487475964107023,0.45976386130249713,0.48801154104827493,-0.17728992906455945,0.026755713613624554,-0.1817114005457807,0.0855236909133794,0.057589714744277626,0.38389815968080193,0.5430926238358825,0.5687051432369868,-0.01865040797349063,0.08723343787664166,-0.3550314576662851,-0.09176101994885663,0.4394554899292372,0.6346748470644695,-0.22030466156397663,-0.027739277745868263,0.1420782729123219
Salmonella enterica,0.23404834764588203,-0.09288105597649385,0.27721831333922686,0.00784819587872515,0.14566431873651625,0.31388527440110986,0.15192668094328135,0.019084232842029425,0.11711705882225074,0.1234911122383994,0.038996691035361686,0.07236118119986928,0.629594151151415,0.3182758343823716,0.061355904591251884,0.3590863213532207,0.049854153073197016,0.5019373912759924,0.26089265765942815,0.11780935679873134,0.2843150777430833,-0.32126284562054974,-0.18803024067294158,-0.2081775019197166,0.19288292842911203,0.6697544998455276,0.8193900438577897,0.34141533043222716,0.30025334248333707
Mycobacterium,-0.39031732024582166,-0.012802139920206512,-0.08633512557247167,-0.0362542794753348,0.09955685442456311,0.008372826690861784,-0.44378994311273623,0.3743730768352601,-0.17182290772194195,0.22177405923334487,0.772224800924992,-0.125815377475927,-0.6090862568238988,0.06419873343596676,0.4802878904995713,0.7375042362661781,-0.21886487833572507,0.2990097669709565,0.010406862965984004,0.1182154937087593,0.9433030041051105,-0.3008910985185459,0.22612189844837202,0.29030795152962996,0.4757358974818041,0.17939494604126863,0.2424151618512307,0.03250542977346267,0.2307380823735322
Clostridium butyricum,0.04704231735077685,0.33647156695681524,0.039116899186909804,0.2631301181706559,0.14122115589450648,0.48781507523165046,0.13458188292345413,-0.3819097404620644,0.5285764502141975,-0.12171969025878568,-0.046129901594645945,-0.028698388213047626,0.5623314279512451,-0.49070226419360863,1.091324560097998,0.4668170427198155,0.21697167423874789,0.1335317998151141,0.23566622245729707,0.30633672851380145,0.3435646757850171,0.3166813398010345,0.17687420437657464,0.09079847390780217,0.10461801490394648,0.0915275158941957,0.4901310290601193,0.32806701668425853,-0.732116590399284
Aerococcaceae,0.3467702329589283,0.20842085841563246,0.14438737306623076,0.03344446407333425,0.48723381599580406,0.43425793863685735,-0.08186330034708272,0.27211568613736054,-0.1414970203623858,-0.26388544943667913,-0.03801516737698954,0.4087180417148276,0.43593751361282596,0.3039256260291879,0.3675287360543991,0.3048534861344875,-0.04244447856688566,0.2795767634021822,0.39012285756830467,0.37628739894407226,0.5066740114423929,0.36249115416031913,0.25543446226247485,0.47104507149492825,0.14204362222528197,-0.11456239536831533,0.10107991081687083,-0.07347079344193472,-0.05255348249231445
Lactobacillaceae,0.10664439878534465,-0.08772597629998838,0.05761154110828791,-0.4180844000861357,0.21398811221188158,0.15036164260866727,-0.09512658932045717,0.3477737005297215,0.43127104128796745,-0.3322679593106922,-0.07881743356986426,-0.08074270493618946,-0.13197093033265941,0.39884245257952455,0.09185215836815894,0.07064554760681677,-0.45115870932202595,0.3406254090627679,-0.22177751845604174,0.16797978907989847,0.2332130813874575,0.5581975787515953,-0.2426461197357336,-0.7558536467462476,0.20515486342610845,0.6901533544532561,0.5216839058818312,0.2128978245823877,0.0025091443103857913
Malthininae,0.3921367789911931,-0.1420638599113406,0.29290733080686576,0.301641047749988,0.46806297224966387,0.9778980116733234,0.2677247901536301,-0.002689087712249627,0.14232770634240166,-0.3807227714667354,-0.05841393932671746,0.027215268566068804,-0.007226519380377744,0.1957064616101166,-0.09672597971466015,0.48630920019734136,0.1500621194754591,0.14720990365841566,0.05163158504612464,0.19655720515769373,0.3975294794002904,-0.11013906471327009,-0.047434946722577004,0.0588821913670006,-0.2537612770419645,-0.09577735791644934,0.007133737936602297,0.4123167542138182,0.22876839870057747
Muribaculaceae,0.2080769734102633,0.40526938865039164,0.10878846348018101,0.26713945497866687,0.11903347412025113,0.22960870481988854,-0.02482759728347461,-0.5816451474829287,0.10971625134410876,0.576824440829982,0.42786462067247766,0.4396192453773512,0.5208392165418654,0.17659727728843122,0.20919471222167868,-0.03529556863030506,0.05517814319188506,0.3347313449313425,0.5111653311506449,0.10816611729570014,0.01494322054457653,0.15015838765697917,0.33036202467873443,-0.2831564448400625,-0.5388542859411714,-0.01516105484747507,-0.2162137277742476,-0.0024420592941932773,0.10566590435475853
Lachnospiraceae,0.014025477293095973,0.5857402603412236,0.248023429380696,0.2401423078832485,0.33666214321302057,-0.19164993533423072,0.4617335362260806,0.12727071403936202,0.3511441851723638,-0.17155716991204664,-0.31612762980481923,0.3953668974075086,0.26292285782925495,-0.12061546630725309,-0.11089892438240831,0.48763043532443084,-0.20682356786019837,0.642801885976789,-0.12018622039436064,0.3415175776825149,0.05141445727530461,0.3309562293247029,-0.013234200634257787,0.10116212817831173,0.16227575261871632,-0.1506562367344418,0.37224730362603775,-0.003964069941475579,0.08142002539799442
Staphylococcaceae,-0.1483048123825537,-0.6187000976385931,0.09269167121994928,0.8737846264838748,0.38538128636940716,0.14422188607968162,0.07113275123751969,0.1567397678436139,0.31413573455256294,-0.20424384459265346,0.48429650840066163,0.3646143946323732,0.36545571771238033,0.28154272164291816,0.15588499730819697,0.35185837079004595,0.3275442401224134,0.04378778671769286,-0.022080531869070275,0.180556888578596,0.6147060454485562,-0.22173212269617024,-0.29025757972573196,0.19942825237095502,0.1652663105568054,0.20200249931112246,0.22318595937255006,0.08303932360955846,0.5969590315806246
Faecalibacterium prausnitzii,-0.33027119354295464,-0.0985491074340738,0.11902357195528578,-0.3429566433462502,0.09724367867037864,0.6484410497184054,0.15626594648878853,0.21921027171560503,-0.22804942955177407,-0.03490842241184325,0.0374410859028189,0.054685470973129785,0.5344931385011306,0.3173073182175373,-0.1834373870811096,0.22395143352960145,0.29946652454903555,0.49204471155637997,0.6241622059705121,-0.1545282575483606,-0.09325725336310145,-0.22727335767438486,0.07979404226790558,0.28990751233390033,0.4462003549767305,0.12721469290724316,0.05404574302354681,0.1955273976746221,-0.10054287048900692
Anaerobutyricum hallii,0.776861616508432,-0.3322983081354176,0.20542217366871734,0.7570818657688918,0.15203995336799933,0.09298828949955165,0.042766373156871845,0.09588249547127764,0.5618545424029591,-0.513558573398852,0.6100301103888977,-0.27718714573504355,0.07000430122967556,0.02122667391040145,0.3265659809312159,-0.3294373055651243,0.28865179982458283,0.7572928869860558,-0.25895220137784314,0.2069118502831187,-0.04859465333898272,0.2777661618579107,0.1557443332247256,-0.04244607271329287,0.2963616854613222,0.691304432936023,0.09272886248181039,0.36592738264445457,-0.2379818873613491
