,BEST4+ enterocyte,enterocyte of epithelium proper of ileum,enterocyte of epithelium proper of duodenum,"CD4-positive, alpha-beta T cell",intestinal crypt stem cell of small intestine,paneth cell of epithelium of small intestine,"activated CD8-positive, alpha-beta T cell",natural killer cell,neutrophil,enterocyte of epithelium proper of small intestine,small intestine goblet cell,"activated CD4-positive, alpha-beta T cell",plasma cell,macrophage,"CD8-positive, alpha-beta T cell",enterocyte of epithelium proper of jejunum,B cell,enteroendocrine cell of small intestine,intestinal tuft cell,fibroblast,gamma-delta T cell,enteroglial cell,innate lymphoid cell,myeloid dendritic cell,endothelial cell of venule,"naive thymus-derived CD4-positive, alpha-beta T cell",mast cell,endothelial cell of lymphatic vessel,endothelial cell of arteriole,pericyte,transit amplifying cell of small intestine,monocyte,myofibroblast cell,regulatory T cell
Eikenella,0.3500809614512045,-0.08033796580065405,0.4497749560765668,-0.4000290220367593,-0.3484268439348932,0.14097921867662572,0.10761558339168152,-0.11497204652723153,0.3428783307915657,0.2592682942647848,0.3574417212802048,0.06305906939431973,0.28077408039350227,-0.03369509090899836,0.7161456070259786,-0.14376373103659573,0.7315892288374937,0.11046638412682258,-0.3126532668706228,0.5104238051465804,0.1377704165184877,0.35533722951407143,0.467156775562778,0.2013866662435076,-0.07767225344384437,0.39271401330077504,0.10022665223637867,0.3057573455825257,-0.5461191721374384,0.23409451510295556,-0.09157574754350903,0.5959928911535591,0.28692620436672855,0.171957323754789
Streptococcus,0.24589299800506648,-0.19953225586301546,0.5869770071584162,0.6974111255250713,0.2178740531644649,0.5771210705720916,-0.07074445960176015,-0.13913406986749421,0.11227742461867686,0.2304823115103696,-0.018196004372936114,0.26133045711054514,0.1919168446220242,-0.1994920325873165,0.2556379052355164,0.3590584727564563,0.1514407952771173,0.4457944309785077,-0.26522113804908554,0.24038512663955552,-0.2510842119190324,-0.23422440746992626,-0.089279250121337,-0.18261805507227344,-0.06439874562234132,0.03575490678664338,0.3511463458994153,0.0036522883882892793,-0.3756877120308778,0.4420203539485481,-0.15112704008451186,0.08238387186861139,0.23396095208221346,0.15988312552083483
Agathobacter rectalis,0.42825386425644263,0.24370094301782766,-0.1583928739091324,0.7535686521974985,0.15830003900146997,0.055797932013548136,0.38917762691667124,0.1748352837790217,0.21976845788179813,0.847655199580206,0.017463571523486016,0.004671731794781267,0.13497355360373914,0.42145478067431164,-0.35196020905711967,-0.48966676744295157,-0.07613458118604427,-0.39017688771778614,-0.027449404257691518,0.25074990883878706,-0.16722465906567904,-0.3280479730344027,0.1208011485146044,0.35876304538455106,-0.4084920315549838,0.3460697194917952,0.34519186112149786,0.3862255306469884,0.465544064461506,0.7606041773978848,-0.006827614585716554,0.13287147402335744,-0.024931529974407646,0.10059305342674324
Faecalibacterium prausnitzii,0.5598620066908936,-0.30350434517920066,-0.15831490164967263,0.5131542809513684,0.406010952070627,-0.008939494045123383,0.35632060033621593,0.20236475274760996,0.5500823827002964,0.1223528781480318,0.4076896341617747,0.8926035731477859,0.2794297465142399,0.11479844973845309,0.31673409556629384,-0.009584257461165466,0.8163903116574196,0.15402131130879446,0.018120003932346154,-0.15070670150601082,0.4291660574819315,0.3601562238483217,-0.04920631142422796,0.2729354035367268,-0.35256679046385686,0.15549117252194689,0.23582690562300834,0.6121989428677668,-0.13124564081860682,-0.2835057886406973,-0.1686283882775125,-0.30097055009447593,0.5009972073276949,0.5645917885072109
Akkermansia muciniphila,0.19606497338464868,0.4663884837055444,0.1401875141740706,0.0714665056897702,8.871428387151326e-05,0.006882702586730363,-0.3643404668927094,0.1792764290822017,0.08789982693578688,0.32360821722336275,0.12805704893158293,0.051188889529272474,-0.16135790900228922,0.1216459710465284,0.3214711692448486,-0.24300169732515822,0.12624212610422178,0.1699128854588452,-0.11541943508547928,-0.07635689147240005,0.16918325462986433,-0.2400263054877869,0.20497711457481776,-0.16860631209775997,0.41885610790996497,0.8013483236164899,-0.1582270405105459,0.2602623587124024,-0.11802257146460576,0.4122862521393368,-0.27957752272556446,0.2441760275283138,-0.16189669006680577,0.03790462327048938
Escherichia coli,-0.2093075825441921,0.3467051412687261,-0.15109410633187606,0.2655892777995483,-0.0032294084786998745,0.06565828846034114,0.14432677222003856,-0.1285474014976546,0.16311013406226607,0.5591003693063233,-0.13342843574981428,0.4515430429821534,0.5494292900463352,-0.14484649670841318,-0.33651638152716556,0.1905882700515294,-0.06422225683006189,0.6605809657489007,0.11044226214994966,-0.14065982241055375,-0.24414785330351343,0.42697148772724913,-0.07135519222525594,0.11314863983812848,0.3867408235337443,-0.04527750557924906,0.08622135137795181,0.09502947705324398,0.3049973534548276,0.27722330065309775,0.03396588062355145,0.11909471844895532,-0.011533703457046518,-0.34328372207583335
Streptococcus salivarius,0.1772802572194388,0.6676575282499203,-0.1651157422073188,-0.13190891288081089,-0.1612183314931224,0.31737753361693677,0.23454563625893202,0.052438692275062995,-0.17540571849168948,0.1277130374919773,-0.36938663820074125,0.14302797005724796,0.3614573158263802,-0.2753597409901033,-0.35975548304889904,0.5738313675084579,-0.08352789185137546,0.4407843537831466,0.053800700440650495,0.051413554917601766,0.23152380984899357,-0.16519965702393216,0.13974914304869368,-0.014446824447227821,-0.2961480330215094,0.20124462241791974,0.021007657936625165,0.05289255146658767,-0.2630482830242473,0.5774201103288412,0.3630142559158348,0.38924676525159363,0.008366589267495408,-0.41875486685102603
Lacticaseibacillus rhamnosus,0.6858752147468532,0.08167074759823957,-0.12463993880601612,0.22504047234493416,0.4501362364009892,0.09308483317436014,0.48357255038181235,0.4248999815550606,-0.22291435622061748,-0.10213703169784291,0.38726114898393027,-0.7137837691431314,0.055163292050503375,-0.3292493604874015,-0.04296614043005739,0.010353973291238758,-0.007473313372252377,-0.06567837563378257,-0.22914309488864418,0.7875733800456057,0.6602386012484052,-0.2486197460768849,0.5746350253910701,-0.019839647141855862,0.13875624199951314,0.08101781203092524,-0.09792459237618972,0.395155703081844,0.13776595917299733,-0.04296542696577241,-0.29137683314014173,-0.16807850411573613,-0.3924140346806291,0.10366706452455085
Lactiplantibacillus plantarum,-0.25899967768531873,0.020331846244437637,0.5110305560831112,0.4597898718764757,0.09031693176921467,0.07387458215705503,0.6639623648263023,0.2562268361076134,0.0016580620370431343,-0.3278054351361356,0.21816196544942296,0.3487971317748587,-0.08949545735409317,0.18736082654140976,-0.009071988474508727,0.04479028024029919,-0.6463466172686994,0.03346557888515936,0.3908107907224163,-0.08942076666996746,0.11575791046459488,-0.12678521200757611,0.20813250288783186,0.03504304073914792,-0.18177246220460205,0.4997654402995383,0.3786796040596645,-0.08147202917845242,0.2493364928253332,0.2612236008461142,0.2926903705033528,-0.40827676879852337,0.40198196230978833,-0.07090968887771942
Enterococcus faecalis,-0.0073483800323800585,0.89136452567806,0.19056201421630353,-0.01589674263415264,-0.5615883118267718,0.5169292401839066,-0.3035629012425808,-0.201031671049851,0.000594310273645246,0.5249235375100878,0.33197199599972776,0.052648747047922016,0.1924876190916463,-0.08011570786133171,0.14189610686960524,0.122001023433441,0.39063096870440595,0.3901534367316849,0.24819321466169345,-0.008704267263830667,0.322546688317038,0.07240946013908603,-0.22457431061393987,-0.020986337573281583,0.12535809513529736,0.3730647350994236,0.04494154835285409,-0.2627596133718818,0.11702250498904583,0.1340368120169657,0.1557512886708259,0.37596145478632903,0.4056769720269695,-0.07826326171449996
